Attribute_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Synonyms,Preferred_Abbreviation,Relation_ID,Num_Relation_ID,Entity_Name,PK_Flag,FK_Flag,Relation_Name,Sequence,T_Size,T_Precision,T_Scale,Data_Source
"active",173D76CF-0B08-3CD4-096F-B48560AD83FF,832,,7B5D7BC2-2647-4362-2963-671C8D171084,772,N,Domain,,,,,9AA4876B-1B9C-C41C-84C1-F83F5AA050E4,282,LOGDT024,756,,,,,,,,"Y",Y,"KEY_ACTIVE",VARCHAR,,,,,,,,"HR_EMP_ADDR_PERSONAL_HISTORY",,,,9,1 CHAR,,,,
"active",EF7AF42A-66FD-9C41-DD6D-9537C8D5A057,833,,7E474EC7-A7B8-2CE4-FDE0-51C6D166A3DB,800,N,Domain,,,,,9AA4876B-1B9C-C41C-84C1-F83F5AA050E4,282,LOGDT024,756,,,,,,,,"Y",Y,"KEY_ACTIVE",VARCHAR,,,,,,,,"HR_FO Business Unit",,,,11,1 CHAR,,,,
"active",251472A7-03F7-05B4-798B-02F94ED7337E,834,,82FCDB74-D6F8-368E-E2B3-99FE8E3DCAD5,790,N,Domain,,,,,9AA4876B-1B9C-C41C-84C1-F83F5AA050E4,282,LOGDT024,756,,,,,,,,"Y",Y,"KEY_ACTIVE",VARCHAR,,,,,,,,"HR_EMP_PERSONAL",,,,18,1 CHAR,,,,
"active",BACB7B4C-C9E4-044D-C0E1-96CEAEB5A490,835,,85C2552F-D48A-5099-4C84-8FF8EEB659C4,783,N,Domain,,,,,9AA4876B-1B9C-C41C-84C1-F83F5AA050E4,282,LOGDT024,756,,,,,,,,"Y",Y,"KEY_ACTIVE",VARCHAR,,,,,,,,"HR_EMP_GENDER",,,,9,1 CHAR,,,,
"active",0DE2574E-1DDD-E3DC-2459-1873C79158CE,836,,863EF1EE-3872-04BC-5F08-E1E914F13F6D,794,N,Domain,,,,,9AA4876B-1B9C-C41C-84C1-F83F5AA050E4,282,LOGDT024,756,,,,,,,,"Y",Y,"KEY_ACTIVE",VARCHAR,,,,,,,,"HR_EMP_time",,,,8,1 CHAR,,,,
"active",DAAC107F-0079-676F-19C7-391AA43AB440,837,,8C1997EC-53DC-6DF2-4DD8-41DE410D1228,778,N,Domain,,,,,9AA4876B-1B9C-C41C-84C1-F83F5AA050E4,282,LOGDT024,756,,,,,,,,"Y",Y,"KEY_ACTIVE",VARCHAR,,,,,,,,"HR_EMP_CLASS",,,,9,1 CHAR,,,,
"active",2464BDDD-F176-BD18-CAD4-07CACC3B2F44,838,,91A9DAA6-0FCD-685D-4667-832084A6054A,806,N,Domain,,,,,9AA4876B-1B9C-C41C-84C1-F83F5AA050E4,282,LOGDT024,756,,,,,,,,"Y",Y,"KEY_ACTIVE",VARCHAR,,,,,,,,"HR_Holiday Calendar",,,,7,1 CHAR,,,,
"active",E408F9C5-AE89-08F8-9F21-9943F0651958,839,,951DB69B-041E-5D6C-06E8-FCFEEA96A58F,802,N,Domain,,,,,9AA4876B-1B9C-C41C-84C1-F83F5AA050E4,282,LOGDT024,756,,,,,,,,"Y",Y,"KEY_ACTIVE",VARCHAR,,,,,,,,"HR_FO Cost Center",,,,9,1 CHAR,,,,
"active",62D2A52E-F982-9744-58CA-9EB16051531E,840,,B23E9EF1-94F0-8F0C-C6B0-DA7B08E94549,776,N,Domain,,,,,9AA4876B-1B9C-C41C-84C1-F83F5AA050E4,282,LOGDT024,756,,,,,,,,"Y",Y,"KEY_ACTIVE",VARCHAR,,,,,,,,"HR_EMP_BANK_INFO",,,,10,1 CHAR,,,,
"active",8F11E767-1225-6EF2-2E1E-D0451FCDDB84,841,,BB318835-DCF0-8FF8-1F29-4D8DE402335B,793,N,Domain,,,,,9AA4876B-1B9C-C41C-84C1-F83F5AA050E4,282,LOGDT024,756,,,,,,,,"Y",Y,"KEY_ACTIVE",VARCHAR,,,,,,,,"HR_EMP_STATUS",,,,9,1 CHAR,,,,
"active",63005BD0-9ADB-AE8C-648A-48018AD59602,842,,BB9B8FC0-AE76-E9FC-C361-3114F990686C,803,N,Domain,,,,,9AA4876B-1B9C-C41C-84C1-F83F5AA050E4,282,LOGDT024,756,,,,,,,,"Y",Y,"KEY_ACTIVE",VARCHAR,,,,,,,,"HR_FO Department",,,,12,1 CHAR,,,,
"active",61E5C1CC-5618-2177-A194-8A89BD804C6D,843,,BEA03508-4D8B-4F29-7763-76A7B8F277EF,792,N,Domain,,,,,9AA4876B-1B9C-C41C-84C1-F83F5AA050E4,282,LOGDT024,756,,,,,,,,"Y",Y,"KEY_ACTIVE",VARCHAR,,,,,,,,"HR_EMP_POSITION",,,,18,1 CHAR,,,,
"active",BF0AB8C0-B2E6-0DCE-2AB1-38F6955B773B,844,,C26EBFD8-E44F-501C-A27F-0AE1ED4E21B8,804,N,Domain,,,,,9AA4876B-1B9C-C41C-84C1-F83F5AA050E4,282,LOGDT024,756,,,,,,,,"Y",Y,"KEY_ACTIVE",VARCHAR,,,,,,,,"HR_FO Division",,,,12,1 CHAR,,,,
"active",627B4169-6728-9E55-794C-6203105BE58E,845,,C685CC87-4C43-43B0-F455-E8830148EAF8,799,N,Domain,,,,,9AA4876B-1B9C-C41C-84C1-F83F5AA050E4,282,LOGDT024,756,,,,,,,,"Y",Y,"KEY_ACTIVE",VARCHAR,,,,,,,,"HR_FO_Country",,,,13,1 CHAR,,,,
"active",47540E54-DF25-D91E-18D9-52C6BD7F4C71,846,,D104F30C-0997-A2F1-0ED9-C52D13E5C974,805,N,Domain,,,,,9AA4876B-1B9C-C41C-84C1-F83F5AA050E4,282,LOGDT024,756,,,,,,,,"Y",Y,"KEY_ACTIVE",VARCHAR,,,,,,,,"HR_Holiday Assignment",,,,7,1 CHAR,,,,
"active",26A0ADEF-31E2-0882-B768-D67A95CAB54D,847,,D2778F59-5DE2-E508-5510-602A31AF99AA,795,N,Domain,,,,,9AA4876B-1B9C-C41C-84C1-F83F5AA050E4,282,LOGDT024,756,,,,,,,,"Y",Y,"KEY_ACTIVE",VARCHAR,,,,,,,,"HR_EMP_TYPE",,,,9,1 CHAR,,,,
"active",B6E9302C-F07C-66D4-C772-264A6E23EAC9,848,,E700DC79-7F29-ED26-8F73-0D3730516C6D,787,N,Domain,,,,,9AA4876B-1B9C-C41C-84C1-F83F5AA050E4,282,LOGDT024,756,,,,,,,,"Y",Y,"KEY_ACTIVE",VARCHAR,,,,,,,,"HR_EMP_Job Code",,,,18,1 CHAR,,,,
"active",6750B002-B765-7D94-3ECF-5C02E20A314E,849,,F46243FA-B440-A573-46D2-5CBAF3843E2F,779,N,Domain,,,,,9AA4876B-1B9C-C41C-84C1-F83F5AA050E4,282,LOGDT024,756,,,,,,,,"Y",Y,"KEY_ACTIVE",VARCHAR,,,,,,,,"HR_EMP_EMPLOYMENT",,,,21,1 CHAR,,,,
"active",5DE76415-F06D-2069-1666-B9AFFBDAD075,850,,F6D1EC36-6739-810D-6080-E9002F4F4C55,771,N,Domain,,,,,9AA4876B-1B9C-C41C-84C1-F83F5AA050E4,282,LOGDT024,756,,,,,,,,"Y",Y,"KEY_ACTIVE",VARCHAR,,,,,,,,"HR_EMP_ADDR_PERSONAL",,,,9,1 CHAR,,,,
"active",4EFADDD9-F010-56A4-FCD9-AA59C894A318,851,,FC0AFA5D-5EA8-2388-54A9-A82EB4606A18,791,N,Domain,,,,,9AA4876B-1B9C-C41C-84C1-F83F5AA050E4,282,LOGDT024,756,,,,,,,,"Y",Y,"KEY_ACTIVE",VARCHAR,,,,,,,,"HR_EMP_PERSONAL_HISTORY",,,,17,1 CHAR,,,,
"ACTIVE",B2178AFE-2A12-4AAD-C86D-CE1A79BE53D6,852,,5D52AB05-9BF2-53DC-A872-6CCA648A8623,796,Y,Domain,,,,,9AA4876B-1B9C-C41C-84C1-F83F5AA050E4,282,LOGDT024,756,,,,,,,,"Y",Y,"KEY_ACTIVE",VARCHAR,,,,,,,,"HR_FCT_HEADCOUNT",,,,16,1 CHAR,,,,
"ACTIVE",C5CF0A58-6314-2E7D-E06D-A5B77CB146FC,853,,8322C72D-2C38-62F9-C58B-65F258C065EB,798,Y,Domain,,,,,9AA4876B-1B9C-C41C-84C1-F83F5AA050E4,282,LOGDT024,756,,,,,,,,"Y",Y,"KEY_ACTIVE",VARCHAR,,,,,,,,"HR_FCT_PROMO",,,,12,1 CHAR,,,,
"ACTIVE",ADD1ACCB-C88C-23F0-9233-EEF4C1A0D1A5,854,,AE3231AB-E14C-5231-6F0B-4F4BB07C5741,797,Y,Domain,,,,,9AA4876B-1B9C-C41C-84C1-F83F5AA050E4,282,LOGDT024,756,,,,,,,,"Y",Y,"KEY_ACTIVE",VARCHAR,,,,,,,,"HR_FCT_IN_OUT",,,,6,1 CHAR,,,,
"Address",A997CF5F-122B-E86F-0FBF-D236934B9DEB,855,,DC03343D-ACCA-2BB8-52D3-73DDE2A32D8D,769,N,Domain,,,,,DOM3000004,691,LOGDT017,695,,,,,,,,,Y,"Unknown",unknown,,,,,,,,"Geo Reference Data",,,,4,,,,,
"Assignment",A40B9F91-483C-6204-F89D-782F1F245F9B,856,,AD702A70-E622-F3B4-EEB1-9A94DF29150F,811,N,Domain,,,,,DOM3000004,691,LOGDT017,695,,,,,,,,,Y,"Unknown",unknown,,,,,,,,"Kinaxis Organization",,,,1,,,,,
"BANK_NAME",723F567F-4B65-5FE9-AB63-81C998F3F1E8,857,,B23E9EF1-94F0-8F0C-C6B0-DA7B08E94549,776,N,Domain,,,,,47038BF6-4EE3-D42C-9957-C5E2C142C3E1,329,LOGDT024,756,,,,,,,,,Y,"NAME_120",VARCHAR,,,,,,,,"HR_EMP_BANK_INFO",,,,2,120 CHAR,,,,
"BANK_NAME_ABBR",B7B8F3E3-8F56-D2CD-53FC-5ED9D988C565,858,,B23E9EF1-94F0-8F0C-C6B0-DA7B08E94549,776,N,Domain,,,,,10E2CDF0-1803-30F1-D5D8-415039BCB81F,330,LOGDT024,756,,,,,,,,,Y,"NAME_30",VARCHAR,,,,,,,,"HR_EMP_BANK_INFO",,,,3,30 CHAR,,,,
"BONUS_PLAN_TYPE",34C94C41-5F45-43EB-6F7A-1D4C36C9AAC2,859,,E700DC79-7F29-ED26-8F73-0D3730516C6D,787,N,Domain,,,,,5DCD2A0F-75C6-0C07-5468-5C5FCC33F10B,688,LOGDT024,756,,,,,,,,,N,"TYPE_BONUS_PLAN",VARCHAR,,,,,,,,"HR_EMP_Job Code",,,,7,20 CHAR,,,,
"brand",520A758C-674B-9176-19F8-523C0648E528,860,,64BA4AA1-3C40-9119-DB70-B9854A8C13A1,809,N,Domain,,,,,DOM3000004,691,LOGDT017,695,,,,,,,,,Y,"Unknown",unknown,,,,,,,,"instrument",,,,2,,,,,
"BU_CD",B63188A0-B90E-774F-897C-EA31A5D38B9A,861,,139DACA1-02AA-D22E-D9E4-577FB3BF890C,785,N,Domain,,,,,AFDFCA48-EFA7-877A-D929-0BF7B2CE647E,344,LOGDT024,756,,,,,,,,,Y,"ORG_BU_ID",VARCHAR,,,,,,51D6E168-FEA1-CEB8-54B1-DE8BC41F55CC,1407,"HR_EMP_JOB",,F,"host forv2",4,10 CHAR,,,,
