Domain_ID,Domain_Name,Num_Domain_ID,Synonyms,Logical_Type_ID,Num_Logical_Type_ID,T_Size,T_Precision,T_Scale,Native_Type,LT_Name
CB073741-AD46-74A9-BF8E-A7C087469E1E,"COUNT_13_2",41,,LOGDT026,708,13 BYTE,13,2,DECIMAL,DECIMAL,
4E340FB6-98CA-9942-0919-ACA3BD62747B,"COUNT_PASSENGER_9_0",42,,LOGDT026,708,9 CHAR,9,0,DECIMAL,DECIMAL,
064CD70F-86D4-024C-C591-E1DA2E9520D2,"CURRENCY",43,,LOGDT024,752,40 CHAR,,,VARCHAR,VARCHAR,
5B9D5C51-1364-EE80-1779-F2DFB0E3A38E,"CURRENCY_ISO_4217",44,,LOGDT024,752,3 CHAR,,,VARCHAR,VARCHAR,
7AF89C81-14EC-2520-FBA0-6EB9D3A19DD2,"CURRENCY_ISO_4217_MINOR",45,,LOGDT019,724,2 CHAR,,,NUMERIC,NUMERIC,
74D68C5E-52C1-93F4-64F5-087F286D3BFF,"CURRENCY_ISO_4217_NUMERIC",46,,LOGDT011,717,3,,,INTEGER,Integer,
031D231F-1480-D07E-BDEC-1E23E262E6CA,"DESC",47,,LOGDT024,752,7000,,,VARCHAR,VARCHAR,
AA38C295-9C0C-CB4D-31E0-3D62E4CA5959,"DESC_120",48,,LOGDT024,752,120 CHAR,,,VARCHAR,VARCHAR,
D8DDEB21-3196-08F6-A53D-329A207863EA,"DESC_20",49,,LOGDT024,752,20 CHAR,,,VARCHAR,VARCHAR,
60C82019-A3E5-131A-A2F9-2DE9555E0E75,"DESC_480",50,,LOGDT024,752,480 CHAR,,,VARCHAR,VARCHAR,
1856FD98-5801-A101-E79C-BFBD8C096435,"DESC_80",51,,LOGDT024,752,80 CHAR,,,VARCHAR,VARCHAR,
8562100C-9BCC-CFF9-0D63-1C59E75CF667,"DG_APPROVALS",52,,LOGDT024,752,1 CHAR,,,VARCHAR,VARCHAR,
5B62B6A7-3BC8-1BE1-C357-9BC11EFC953B,"DG_DOMAIN",53,,LOGDT024,752,2 CHAR,,,VARCHAR,VARCHAR,
BDD7B5BF-BB75-8021-55DA-EC645AEB24E5,"DG_ROLE",54,,LOGDT024,752,20 CHAR,,,VARCHAR,VARCHAR,
