Attribute_Name,Mandatory,Num_Domain_ID,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Entity_Name,PK_Flag,FK_Flag,Sequence,T_Size,T_Precision,T_Scale,Data_Source
COST_CENTER,Y,354,Y,ORG_DPT_ID,VARCHAR,HR_FO_COST_CENTER,P,,1,10,,,
COST_CENTER_NAME,N,353,Y,ORG_DPT_CC,VARCHAR,HR_FO_COST_CENTER,,,2,20,,,
Country,N,691,Y,Unknown,unknown,Geo_Reference_Data,,,1,,,,
COUNTRY_ISO3166_2_CHAR2,N,2,N,ADDR_COUNTRY_ISO_3166_2,VARCHAR,HR_FO_COUNTRY,,,2,2,,,
COUNTRY_ISO3166_2_CHAR3,Y,3,N,ADDR_COUNTRY_ISO_3166_3,VARCHAR,HR_EMP_ADDR_WORK,P,F,2,3,,,
COUNTRY_ISO3166_2_CHAR3,N,3,N,ADDR_COUNTRY_ISO_3166_3,VARCHAR,HR_FO_COMPANY,,F,4,3,,,
COUNTRY_ISO3166_2_CHAR3,N,3,Y,ADDR_COUNTRY_ISO_3166_3,VARCHAR,HR_FCT_HEADCOUNT,,F,1,3,,,
COUNTRY_ISO3166_2_CHAR3,Y,3,N,ADDR_COUNTRY_ISO_3166_3,VARCHAR,HR_EMP_ADDR_PERSONAL_HISTORY,P,F,2,3,,,
COUNTRY_ISO3166_2_CHAR3,N,3,N,ADDR_COUNTRY_ISO_3166_3,VARCHAR,HR_EMP_PERSONAL,,F,2,3,,,
COUNTRY_ISO3166_2_CHAR3,N,3,N,ADDR_COUNTRY_ISO_3166_3,VARCHAR,HR_EMP_ADDR_WORK_HISTORY,,F,2,3,,,
COUNTRY_ISO3166_2_CHAR3,Y,3,N,ADDR_COUNTRY_ISO_3166_3,VARCHAR,HR_FO_COUNTRY,P,,1,3,,,
COUNTRY_ISO3166_2_CHAR3,Y,3,N,ADDR_COUNTRY_ISO_3166_3,VARCHAR,HR_EMP_ADDR_PERSONAL,P,F,2,3,,,
COUNTRY_ISO3166_2_NUM,N,4,N,ADDR_COUNTRY_ISO_3166_NUMERIC,Integer,HR_FO_COUNTRY,,,3,3,,,
